"Genesis",0,49
"Exodus",50,89
"Leviticus",90,116
"Numbers",117,152
"Deuteronomy",153,186
"Joshua",187,210
"Judges",211,231
"Ruth",232,235
"1 Samuel",236,266
"2 Samuel",267,290
"1 Kings",291,312
"2 Kings",313,337
"1 Chronicles",338,366
"2 Chronicles",367,402
"Ezra",403,412
"Nehemiah",413,425
"Esther",426,435
"Job",436,477
"Psalms",478,627
"Proverbs",628,658
"Ecclesiastes",659,670
"Song of Solomon",671,678
"Isaiah",679,744
"Jeremiah",745,796
"Lamentations",797,801
"Ezekiel",802,849
"Daniel",850,861
"Hosea",862,875
"Joel",876,878
"Amos",879,887
"Obadiah",888,888
"Jonah",889,892
"Micah",893,899
"Nahum",900,902
"Habakkuk",903,905
"Zephaniah",906,908
"Haggai",909,910
"Zechariah",911,924
"Malachi",925,928
"Matthew",0,27
"Mark",28,43
"Luke",44,67
"John",68,88
"Acts",89,116
"Romans",0,15
"1 Corinthians",16,31
"2 Corinthians",32,44
"Galatians",45,50
"Ephesians",51,56
"Philippians",57,60
"Colossians",61,64
"1 Thessalonians",65,69
"2 Thessalonians",70,72
"1 Timothy",73,78
"2 Timothy",79,82
"Titus",83,85
"Philemon",86,86
"Hebrews",87,99
"James",100,104
"1 Peter",105,109
"2 Peter",110,112
"1 John",113,117
"2 John",118,118
"3 John",119,119
"Jude",120,120
"Revelation",121,142
